WKT	type	osm_id	lat	lon	place	abandoned:place	name	marker-color	marker-size
"POINT (15.3125974 -4.3217055)"	points	"27043346"	-4.3217055	15.3125974	city		Kinshasa	red	"10"
"POINT (15.3269312 -4.3168272)"	points	"27043347"	-4.3168272	15.3269312	town		Barumbu	red	"10"
"POINT (15.3019974 -4.3286488)"	points	"27043358"	-4.3286488	15.3019974	town		Lingwala	red	"10"
"POINT (15.266192 -4.3395522)"	points	"27043362"	-4.3395522	15.266192	town		Kintambo	red	"10"
"POINT (15.304893 -4.3464741)"	points	"27043390"	-4.3464741	15.304893	town		Kasa-Vubu	red	"10"
"POINT (27.4826264 -11.6642316)"	points	"27564973"	-11.6642316	27.4826264	city		Lubumbashi	red	"10"
"POINT (23.5998111 -6.1258942)"	points	"27565034"	-6.1258942	23.5998111	city		Mbuji-Mayi	red	"10"
"POINT (15.1676574 -4.5900244)"	points	"29804794"	-4.5900244	15.1676574	town		Kasangulu	red	"10"
"POINT (15.2335545 -4.3313585)"	points	"29806128"	-4.3313585	15.2335545	suburb		Kinsuka	red	"10"
"POINT (14.8666614 -5.2500086)"	points	"29806457"	-5.2500086	14.8666614	city		Mbanza-Ngungu	red	"10"
"POINT (13.05 -5.85)"	points	"29806459"	-5.85	13.05	city		Boma	red	"10"
"POINT (19.1034796 1.6084795)"	points	"29808922"	1.6084795	19.1034796	town		Makanza	red	"10"
"POINT (18.2564803 0.0470732)"	points	"29808923"	0.0470732	18.2564803	city		Mbandaka	red	"10"
"POINT (16.23333 -2.166682)"	points	"29808924"	-2.166682	16.23333	city		Bolobo	red	"10"
"POINT (17.7778669 -0.6054391)"	points	"29808952"	-0.6054391	17.7778669	town		Irebu	red	"10"
"POINT (25.2057292 0.5184021)"	points	"29809156"	0.5184021	25.2057292	city		Kisangani	red	"10"
"POINT (15.2934167 -4.3710605)"	points	"29927348"	-4.3710605	15.2934167	town		Bumbu	red	"10"
"POINT (15.2397132 -4.3504214)"	points	"29927349"	-4.3504214	15.2397132	town		Ngaliema	red	"10"
"POINT (15.323745 -4.3808917)"	points	"29927350"	-4.3808917	15.323745	town		Ngaba	red	"10"
"POINT (15.2836656 -4.3904506)"	points	"29927352"	-4.3904506	15.2836656	town		Selembao	red	"10"
"POINT (29.225652 -1.6665685)"	points	"60715164"	-1.6665685	29.225652	city		Goma	red	"10"
"POINT (25.8525231 -9.2020365)"	points	"77186850"	-9.2020365	25.8525231	city		Bukama	red	"10"
"POINT (18.2863998 -1.9253353)"	points	"82673255"	-1.9253353	18.2863998	town		Inongo	red	"10"
"POINT (24.2298322 -0.5096558)"	points	"83196295"	-0.5096558	24.2298322	town		Opala	red	"10"
"POINT (26.6700323 -4.4283572)"	points	"83517617"	-4.4283572	26.6700323	town		Kasongo	red	"10"
"POINT (30.2478844 1.5620529)"	points	"83529422"	1.5620529	30.2478844	city		Bunia	red	"10"
"POINT (29.2919545 0.1249694)"	points	"83540909"	0.1249694	29.2919545	city		Butembo	red	"10"
