WKT	type	lat	lon	osm_id	osm_way_id	amenity	name	name:fr	name:en	health_facility:type	healthcare	id:uuid	is_in:health_area	 is_in:health_zone	building:levels	building:material	building:condition	addr:housenumber	 addr:street	 addr:city	source	source:data	source:date	source:name	source_ref	survey:date	 note	 attribution	other_tags
"MULTIPOLYGON (((15.2741278 -4.3144103,15.2737923 -4.3143863,15.2738043 -4.3142198,15.2732399 -4.3141795,15.2732492 -4.3140503,15.2739745 -4.3141022,15.2739655 -4.3142262,15.2741401 -4.3142387,15.2741278 -4.3144103)))"	multipolygons	-4.31423245	15.2739280941441		"48729259"	hospital	Clinique Kinoise																						"""building""=>""yes"""
"MULTIPOLYGON (((27.4838389 -11.6608351,27.4830385 -11.6612489,27.481961 -11.6591913,27.4827581 -11.6588086,27.4838389 -11.6608351)))"	multipolygons	-11.6600132	27.4828959781757		"52173208"	hospital	Clinique Universitaire																						"""addr:street""=>""Avenue de N'Djamena"""
"MULTIPOLYGON (((27.4881568 -11.6724058,27.4880678 -11.6728177,27.4868059 -11.6724296,27.4869353 -11.6720573,27.4881568 -11.6724058)))"	multipolygons	-11.67262365	27.4877732893724		"52348895"	hospital	Hôpital Jason Sendwe																						
"MULTIPOLYGON (((27.4781162 -11.6725049,27.4778988 -11.6733476,27.4768606 -11.6730207,27.477026 -11.6725109,27.4781162 -11.6725049)))"	multipolygons	-11.6727658	27.4774960964697		"52360312"	hospital	Clinique Gécamines																						
"MULTIPOLYGON (((27.4675405 -11.6770957,27.4667148 -11.6778881,27.4653523 -11.6760739,27.46443 -11.6766158,27.4636307 -11.6753995,27.4643626 -11.6750013,27.4640277 -11.6745129,27.4654999 -11.6736276,27.4659093 -11.6738727,27.4666796 -11.6744215,27.4659794 -11.6750142,27.4668874 -11.6759926,27.4671831 -11.6766757,27.4675405 -11.6770957)))"	multipolygons	-11.67569605	27.4652188839576		"52433781"	hospital	Hôpital Gécamines Sud																						
"MULTIPOLYGON (((15.3209953 -4.3598858,15.3208484 -4.3598383,15.3208124 -4.359949,15.3207407 -4.3599258,15.3207959 -4.3597562,15.3207118 -4.359729,15.3207247 -4.3596892,15.3206446 -4.3596633,15.3205296 -4.3600169,15.3209124 -4.3601407,15.3209953 -4.3598858)))"	multipolygons	-4.3599058	15.3206564710349		"57889654"	hospital	Hôpital SS Mabanga																						"""building""=>""yes"""
"MULTIPOLYGON (((15.2638745 -4.3529247,15.2675438 -4.3531601,15.2680802 -4.3552354,15.2635312 -4.3550857,15.2638745 -4.3529247)))"	multipolygons	-4.3541229	15.2657384028032		"57898054"	hospital	Centre Nganda														Local knowledge								"""emergency""=>""yes"""
"MULTIPOLYGON (((25.1676407 0.511992,25.1667293 0.5118148,25.1665893 0.5120134,25.1661617 0.5121941,25.1659525 0.5117418,25.1663128 0.5114873,25.1663739 0.5108225,25.1677938 0.5110976,25.1676407 0.511992)))"	multipolygons	0.51161455	25.1669189802298		"59367977"	hospital	Hôpital Universitaire																						"""is_in""=>""Kisangani"""
"MULTIPOLYGON (((25.4613089 -10.7158974,25.4616737 -10.7149276,25.4632616 -10.7149908,25.4639697 -10.7152227,25.4633259 -10.7167197,25.4613089 -10.7158974)))"	multipolygons	-10.71556005	25.4626302084028		"84630490"	hospital	Clinique Gécamines																						
"MULTIPOLYGON (((15.2972979 -4.3434022,15.294466 -4.342557,15.2953029 -4.3404072,15.2981455 -4.3408352,15.2972979 -4.3434022)))"	multipolygons	-4.3416961	15.2963311900869		"102422512"	hospital	Hôpital du Cinquantenaire																						
